company_name,guinumber,tel,companyaddress,responsibleperson,registerstyle,permitstatus,rreplan,permitnumber,permitdate
明泓殯儀禮品有限公司,23869306,02-22561858,"新北市板橋區新海路431巷3號1樓 ","吳賜恩 ",本市,營運中,否,北府民殯字第0930387420號,93年06月14日
善全禮儀社,13367732,02-82583311,"新北市板橋區新海路458號3樓  ","羅麗蓉 ",本市,營運中,否,北府民殯字第0930470514號,93年06月29日
"春彬禮儀社 ",99776692,02-22808755,"新北市三重區車路頭街136巷20號2樓  ",黃春賓,本市,營運中,否,北府民殯字第0930436526號,93年06月30日
"存德生命禮儀有限公司 ",27467346,0910139176,新北市樹林區八德街253號11樓,鄭秀枝,本市,營運中,否,北府民殯字第0930416869號,93年07月09日
五大禮儀有限公司,27282431,02-22914663,"新北市五股區水碓路15號5樓之2  ","徐啟揚 ",本市,營運中,否,北府民殯字第0930466516號,93年07月09日
"永豐葬儀禮品社 ",14189638,02-26225959,"新北市淡水區清水街117號1樓  ","林永風 ",本市,營運中,否,北府民殯字第0930504462號,93年08月02日
"蓮邦生命禮儀社 ",29281107,02-82596160,"新北市板橋區長江路1段137號1樓  ","楊明德 ",本市,營運中,否,北府民殯字第0930620797號,93年10月21日
仁惠葬儀禮品有限公司,86177006,02-22518141,"新北市板橋區新海路431巷4號1樓 ",吳酉人,本市,營運中,否,北府民殯字第0930616836號,93年10月20日
至孝生命事業有限公司,23573275,02-29132333,"新北市新店區中正路315號2樓  ","林彰銘 ",本市,營運中,否,北府民殯字第0930709305號,93年11月08日
"大橡國際服務有限公司 ",27502836,02-89682277,新北市板橋區倉後街1之8號,張菀秦,本市,營運中,否,北府民殯字第0930669575號,93年11月11日
"翰霖禮儀社 ",17819552,02-29544017,"新北市板橋區重慶路245巷48號1樓  ","簡裕村 ",本市,營運中,否,北府民殯字第0930694523號,93年11月24日
"上元顧問有限公司 ",80117544,02-26709078,"新北市鶯歌區國慶街115巷13弄13號1樓  ","陳興宗 ",本市,營運中,否,北府民殯字第0930735384號,93年11月29日
"親園殯儀禮品有限公司 ",12921585,02-22543777,"新北市板橋區校前街26號1樓  ","陳少華 ",本市,營運中,否,北府民殯字第0930703197號,93年11月26日
"和豐禮儀有限公司 ",16058484,0922061333,新北市板橋區長江路1段94號3樓,吳孟宗,本市,營運中,否,北府民殯字第0930687036號,93年12月01日
"永聖禮儀用品社 ",29312024,02-26793379,新北市鶯歌區國慶街155號,賴詠茹,本市,營運中,否,北府民殯字第0930759305號,93年12月06日
"廣福禮儀有限公司 ",80086681,02-29826217#8,"新北市三重區大勇街38號1樓  ","許誥 ",本市,營運中,否,北府民殯字第0930795835號,93年12月14日
"大板禮儀有限公司 ",13023913,02-22818373,"新北市蘆洲區信義路22號1樓  ","李振盟 ",本市,營運中,否,北府民殯字第0930748153號,93年12月20日
"全國鮮花殯儀禮品有限公司 ",34582103,02-22571166,"新北市板橋區新海路422之1號2樓  ","黃發達 ",本市,營運中,否,北府民殯字第0930841284號,93年12月24日
"佳昕禮儀有限公司 ",80094818,02-29877438,"新北市三重區碧華街225號1樓  ",江慶銅,本市,營運中,否,北府民殯字第0930823794號,94年01月04日
"新豐禮儀社 ",13788305,02-24970666,"新北市瑞芳區三爪子坑路281之19號1樓  ","許玟玉 ",本市,營運中,否,北府民殯字第0930830138號,94年01月06日
"大新葬儀社 ",34077549,02-29725523,"新北市三重區重新路1段35號  ","蕭呈輝 ",本市,營運中,否,北府民殯字第0930823424號,94年01月06日
"大申殯儀社 ",14254953,02-26797196,新北市鶯歌區永明街60巷1號,"陳進利 ",本市,營運中,否,北府民殯字第0930828675號,94年01月06日
"長壽殯儀社 ",33141522,02-26792447,"新北市鶯歌區中正2路8號  ","王長生 ",本市,營運中,否,北府民殯字第0930812703號,94年01月06日
"道德禮儀有限公司 ",12362007,02-22559241,新北市板橋區新海路431巷27號,"李元金 ",本市,營運中,否,北府民殯字第0930861189號,94年01月10日
東明禮儀社,29349182,02-26365172,"新北市三芝區中興街１段39號2樓  ",林明諒,本市,營運中,否,北府民殯字第0930815223號,94年01月17日
"進發禮儀有限公司 ",16960285,02-29087058,"新北市泰山區全興路17巷27號  ",吳易昇,本市,營運中,否,北府民殯字第0930804723號,94年01月17日
"鶴興禮儀有限公司 ",12639644,02-26362323,新北市三芝區中正路2段35號1樓,"郭銘仁 ",本市,營運中,否,北府民殯字第0940001792號,94年01月18日
"延吉生命禮儀有限公司 ",97058647,02-22745533,新北市土城區延吉街74號,鄭可若,本市,營運中,否,北府民殯字第0930858460號,94年01月18日
"薪安國際禮儀有限公司 ",80106531,02-29080839,"新北市新莊區中正路508巷5弄8號  ","吳來旺 ",本市,營運中,否,北府民殯字第0930872109號,94年01月12日
"成洲殯葬禮儀有限公司 ",12723591,02-82951815,"新北市五股區凌雲路1段36號1樓  ","陳聰輝 ",本市,營運中,否,北府民殯字第0930814600號,94年01月13日
"保民往生禮儀社有限公司 ",27608710,02-22587299,"新北市板橋區新海路431巷6之1號 2樓","歐聰明 ",本市,營運中,否,北府民殯字第0940005136號,94年01月19日
美美禮儀社,08572115,02-22566719,新北市新莊區民安西路196巷10號,"張梅 ",本市,營運中,否,北府民殯字第0930851341號,94年01月21日
神州禮儀禮品行,15762580,02-22815381,"新北市蘆洲區民權路101巷5號2樓  ","游鋒得 ",本市,營運中,否,北府民殯字第0930873885號,94年02月03日
"大譽禮儀用品社 ",19510685,02-29429720,"新北市中和區保健路10巷21弄8之1號2樓  ",田健美,本市,營運中,否,北府民殯字第0930855827號,94年02月03日
"大觀殯葬禮儀社 ",14882763,02-22831199,"新北市蘆洲區民權路80號1樓  ","林曦強 ",本市,營運中,否,北府民殯字第0940012798號,94年02月03日
"蘆洲欣興禮儀社 ",99839541,02-22837327,"新北市蘆洲區九芎街139巷8號4樓  ","李文河 ",本市,營運中,否,北府民殯字第0930858368號,94年02月03日
"百合鮮花禮儀店 ",13789120,02-22810838,"新北市蘆洲區中山二路46巷11弄7號1樓  ","李麗玲 ",本市,營運中,否,北府民殯字第0930844206號,94年02月05日
"福安殯葬禮儀企業社 ",14878108,02-86487777,新北市汐止區大同路3段66之5號5樓之1,黃文賢,本市,營運中,否,北府民殯字第0930875588號,94年02月05日
孝諄禮儀有限公司,27632824,02-26640405,"新北市深坑區北深路2段81巷7號3樓  ","陳姣燕 ",本市,營運中,否,北府民殯字第0940032611號,94年02月17日
土城葬儀社,01861364,02-22602047,新北市土城區興城路54號1樓,"林文發 ",本市,營運中,否,北府民殯字第0940075108號,94年03月02日
"祥詮葬儀有限公司 ",70601857,02-22533182,"新北市板橋區新海路415號1樓  ",高紫瀅,本市,營運中,否,北府民殯字第0940073039號,94年03月03日
"順福國際葬儀有限公司 ",80254618,02-22597055,"新北市板橋區長江路1段10巷2號1樓  ",李明傳,本市,營運中,否,北府民殯字第0940073819號,94年03月04日
禾欣生命禮儀社,21506390,02-26193721,新北市八里區龍米路2段226巷3號4樓,"周銘輝 ",本市,營運中,否,北府民殯字第0940084585號,94年03月04日
"淡水葬儀社 ",33783905,02-26210990,"新北市淡水區三民街17號1樓  ",李昆和,本市,營運中,否,北府民殯字第0930853924號,94年03月10日
"道德葬儀社 ",02263582,02-28099178,"新北市淡水區民生路16巷19號1樓  ","王阿梅 ",本市,營運中,否,北府民殯字第0940067910號,94年03月08日
"國花禮儀有限公司 ",70742168,02-22557116,"新北市板橋區新海路430巷7號1樓  ","詹建發 ",本市,營運中,否,北府民殯字第0940101192號,94年03月17日
"安全葬儀社 ",01878061,02-22741759,新北市板橋區新海路430巷4號,李崇國,本市,營運中,否,北府民殯字第0940117980號,94年03月17日
振興葬儀社,34569586,02-26811335,"新北市樹林區四德街7巷3號1樓  ",吳秀格,本市,營運中,否,北府民殯字第0940118931號,94年03月17日
"萬鴻殯儀有限公司 ",12728272,02-22557507,"新北市板橋區新海路430巷19號1樓  ",楊凱童,本市,營運中,否,北府民殯字第0940126045號,94年03月17日
"惠康殯儀有限公司 ",12903138,02-86672977,新北市三芝區三芝區忠孝街177號5樓,"洪惠林 ",本市,營運中,否,北府民殯字第0930522668號,93年08月09日
"妙法國際禮儀有限公司 ",70725793,02-29605315,"新北市板橋區中正路275巷7號5樓  ",陳振輝,本市,營運中,否,北府民殯字第0940128825號,94年03月23日
"玄基國際禮儀有限公司 ",12841675,02-22571826,"新北市板橋區新海路426之1號  ","王薰篁 ",本市,營運中,否,北府民殯字第0940137585號,94年03月23日
"好朋友鮮花禮品葬儀社 ",01879250,02-29581056,"新北市板橋區富山街53巷2號1樓  ","顏石城 ",本市,營運中,否,北府民殯字第0940168897號,94年03月28日
"德泰葬儀有限公司 ",86786330,02-22553111,"新北市板橋區長江路1段3之3號 ","吳周全 ",本市,營運中,否,北府民殯字第0940142092號,94年03月24日
"景福葬儀禮品社 ",36273594,02-22020496,新北市板橋區長江路1段5之1號,王啟書,本市,營運中,否,北府民殯字第0940117236號,94年03月31日
"源鳴殯葬禮品社 ",01878999,02-22595616,新北市板橋區新海路421號3樓,"薛寶珠 ",本市,營運中,否,北府民殯字第0940166699號,94年04月07日
"七珀光禮儀有限公司 ",80424472,02-22506924,"新北市板橋區新海路430巷18號1樓  ",吳采璇,本市,營運中,否,北府民殯字第0940166724號,94年04月07日
"民典葬儀有限公司 ",86185511,02-22564710,新北市板橋區新海路431巷12號1樓,宋仁文,本市,營運中,否,北府民殯字第0940169465號,94年04月12日
"泰山鮮花殯葬禮儀店 ",35985878,02-29098080,"新北市泰山區泰林路2段156號1樓  ",柯陳明慧,本市,營運中,否,北府民殯字第0930844935號,94年01月05日
"阿牛殯儀有限公司 ",80157101,02-29731615,"新北市三重區龍門路233號1樓  ","楊博文 ",本市,營運中,否,北府民殯字第0940879792號,95年02月14日
"清水禮儀有限公司 ",84385177,02-29716277,新北市三重區新北大道1段100巷7號,蔡松茂,本市,營運中,否,北府民殯字第0940166108號,94年04月20日
"駱成生命禮儀社 ",34645944,02-22483333,"新北市中和區廟美街28號1樓  ","駱俊宏 ",本市,營運中,否,北府民殯字第0940152968號,94年04月22日
"重壽鮮花禮儀社 ",21551325,02-29861739,"新北市三重區長壽西街204號1樓  ","陳文福 ",本市,營運中,否,北府民殯字第0940302132號,94年04月26日
"均唐殯儀社 ",49957846,02-26016789,"新北市林口區林口路4號  ","林祐平 ",本市,營運中,否,北府民殯字第0940171665號,94年04月29日
"侑錩生命事業有限公司 ",27788500,02-29835121,"新北市三重區國隆路12巷15號1樓  ","江侑育 ",本市,營運中,否,北府民殯字第0940312331號,94年04月29日
"五福生命事業有限公司 ",80595828,02-22062006,"新北市新莊區新莊路418號  ","尤俊德 ",本市,營運中,否,北府民殯字第0940328566號,94年05月02日
"環興禮儀有限公司 ",27785406,02-22567793,新北市板橋區新海路431巷27號,"陳玉環 ",本市,營運中,否,北府民殯字第0940312670號,94年05月03日
"嘉聖國際殯儀有限公司 ",27326450,0953536196,"新北市汐止區福德1路86巷50號7樓  ","高世英 ",本市,營運中,否,新北府民殯字第1053464789號,105年07月14日
"運德殯儀禮品有限公司 ",84521996,02-22561683,"新北市板橋區新海路430巷9號1樓  ","林俊雄 ",本市,營運中,否,北府民殯字第0940315064號,94年05月05日
"慈德葬儀社 ",01941753,02-22563000,新北市板橋區大觀路2段169巷13之2號,黃志騏,本市,營運中,否,北府民殯字第0940312699號,94年05月05日
"大眾禮儀用品社 ",13782718,02-22541665,新北市板橋區長江路1段12之1號,"章崇誌 ",本市,營運中,否,北府民殯字第0940309411號,94年05月05日
"自由禮儀有限公司 ",12767915,02-29890566,"新北市三重區雙園街9號  ","林鴻斌 ",本市,營運中,否,北府民殯字第0940334169號,94年05月05日
"廖聯發綢布莊 ",33382205,02-29613839,"新北市板橋區四川路1段65號1樓  ","袁阿森 ",本市,營運中,否,北府民殯字第0940310168號,94年05月06日
"澄茂禮儀社 ",08565037,02-22571995,"新北市板橋區新海路427之1號2樓  ","吳水澄 ",本市,營運中,否,北府民殯字第0940312714號,94年05月06日
"順園禮品社 ",67804029,02-22579945,"新北市板橋區新海路429之2號3樓  ",連陳素珠,本市,營運中,否,北府民殯字第0940309857號,94年05月06日
"福安生命企業有限公司 ",27797732,02-22510544,新北市板橋區莊敬路238之1號,梁彥煒,本市,營運中,否,北府民殯字第0940309396號,94年05月06日
"諠霖禮儀有限公司 ",80107996,02-22574155,"新北市板橋區新海路428號 ",張雅程,本市,營運中,否,北府民殯字第0940333584號,94年05月09日
"永興往生禮儀有限公司 ",80039766,02-22584477,"新北市板橋區新海路450號1樓  ",李訓銘,本市,營運中,否,北府民殯字第0940333540號,94年05月09日
"昇美禮儀社 ",21598031,02-26684085,新北市樹林區信和街138號,"簡麗梅 ",本市,營運中,否,北府民殯字第0940349519號,94年05月09日
"滿意鮮花店 ",36029810,02-22568762,"新北市板橋區長江路1段60之2號 ",劉君霞,本市,營運中,否,北府民殯字第0940350649號,94年05月13日
"安住葬儀禮品有限公司 ",27808359,02-22514412,新北市板橋區長江路1段134之1號,"鄭正果 ",本市,營運中,否,北府民殯字第0940346755號,94年05月19日
菩海葬儀禮品社,15765279,0916229793,新北市蘆洲區民生街23號5樓,陳正能,本市,營運中,否,北府民殯字第0940344830號,94年05月19日
永韋葬儀社,15765263,02-22551886,新北市板橋區新海路419之1號,蔡輝龍,本市,營運中,否,北府民殯字第0940344648號,94年05月19日
一德殯儀禮品社,01942606,02-22564411,"新北市板橋區溪頭街2之1號2樓 ",楊銀州,本市,營運中,否,北府民殯字第0940349465號,94年05月20日
"千萬代人本企業社 ",99089224,02-26474811,"新北市汐止區福安街57巷14號4樓  ",廖鴻錡,本市,營運中,否,北府民殯字第0940322001號,94年05月19日
"聯豐殯儀有限公司 ",27800440,02-22584077,"新北市板橋區長江路1段6號1樓  ",陳秀鳳,本市,營運中,否,北府民殯字第0940370335號,94年05月20日
"紘儀生命禮儀有限公司 ",13080765,02-22520088,新北市汐止區大同路2段484號,羅冠承,本市,營運中,是,北府民殯字第0940395740號,94年05月23日
友益殯儀禮品行,01979265,02-29939523,"新北市新莊區新莊路144號  ",洪基耀,本市,營運中,否,北府民殯字第0930680520號,93年12月01日
"祥安殯葬禮儀社 ",21577633,02-28586016,新北市三重區集賢路118之8號3樓,"梁添壽 ",本市,營運中,否,北府民殯字第0940331629號,94年05月24日
"詠祥殯儀禮品有限公司 ",22507431,02-26622079,新北市新莊區四維路203巷20號4樓,陳俊強,本市,營運中,否,北府民殯字第0940170761號,94年06月01日
"利德禮儀社 ",21594794,02-26716528,"新北市三峽區清水街368號1樓  ","高財利 ",本市,營運中,否,北府民殯字第0940366661號,94年06月01日
"慧通禮儀有限公司 ",27891336,02-82523989,"新北市板橋區新海路429之1號2樓  ","李鴻慧 ",本市,營運中,否,北府民殯字第0940418018號,94年06月10日
"隆德殯儀禮品社 ",02209286,02-85225803,"新北市新莊區中港路648巷2號2樓  ","林添財 ",本市,營運中,否,北府民殯字第0940426039號,94年06月16日
"劉益森壽板鮮花殯儀有限公司 ",01865973,02-26826308,新北市樹林區保安2街5號(1樓),"劉東欣 ",本市,營運中,否,北府民殯字第0940418011號,94年06月21日
"啟聖禮儀社 ",74937138,02-86351380,新北市三芝區長勤街90號7樓,"李永吉 ",本市,營運中,否,北府民殯字第0930719050號,93年12月08日
"埔津股份有限公司 ",80322664,02-29261000,"新北市永和區福和路139號5樓之1  ","彭永煌 ",本市,營運中,是,北府民殯字第0950168043號,95年06月30日
尚荷禮儀規劃股份有限公司,27797091,02-22564450,新北市板橋區新海路446號,"莊豐銘 ",本市,營運中,否,北府民殯字第0940444702號,94年07月08日
"德成殯儀禮品社 ",78892055,02-29448546,新北市中和區華新街232巷16號1樓,古德財,本市,營運中,否,北府民殯字第0940407019號,94年07月06日
"信安禮儀社 ",08696853,02-22588650,新北市板橋區新海路431巷7之2號,"呂明瞭 ",本市,營運中,否,北府民殯字第0940465421號,94年07月07日
"東隆生命事業有限公司 ",80593309,02-82613365,"新北市土城區仁愛路18號2樓  ",劉朝舜,本市,營運中,否,北府民殯字第0940541583號,94年08月29日
"慈福殯儀禮品社 ",13780161,02-22046454,"新北市新莊區民安路222之2號  ","林文慶 ",本市,營運中,否,北府民殯字第0940580707號,94年08月25日
"玄山社殯儀有限公司 ",70520118,02-22879666,"新北市三重區仁美街121號3樓  ","王矞瑩 ",本市,營運中,否,北府民殯字第0940593089號,94年09月05日
"禾億生命事業有限公司 ",27903706,02-25863132,新北市汐止區合順街42號1樓,"陳秋良 ",本市,營運中,否,北府民殯字第0940609875號,94年09月14日
"誌誠禮儀社 ",98674887,02-29723010,"新北市三重區正義南路20號  ","陳澤成 ",本市,營運中,否,北府民殯字第0940586356號,94年09月27日
"合興葬儀社 ",02353423,02-22486889,"新北市中和區廟美街25號1樓  ",廖秉州,本市,營運中,否,北府民殯字第0940170166號,94年04月20日
"長弘生命禮儀有限公司 ",79995375,02-29555927,新北市板橋區重慶路139巷36號1樓,陳威羽,本市,營運中,否,北府民殯字第0940634454號,94年10月11日
"善利生命禮儀社 ",35875990,02-29934525,新北市新莊區武前街3之2號(1樓),"童春木 ",本市,營運中,否,北府民殯字第0940684363號,94年11月08日
"江子翠懷恩葬儀社 ",49979779,02-22513509,新北市永和區智光街123號1樓,吳美惠,本市,營運中,否,北府民殯字第0940757196號,94年11月11日
"立賀興業有限公司 ",28047110,02-22553787,新北市板橋區自由路26巷23號,黃忠偉　,本市,營運中,否,北府民殯字第0940788595號,94年11月29日
"尊圓生命事業有限公司 ",12913115,02-82317207,新北市中和區秀朗路3段36巷4之4號,莊婷宇,本市,營運中,否,北府民殯字第0940858605號,94年12月19日
"金芳禮儀有限公司 ",28029210,02-26711120,"新北市三峽區和平街63巷3號1樓  ",王泳鴻,本市,營運中,否,北府民殯字第0950005531號,95年01月09日
"永憶生命禮儀有限公司 ",80222433,02-22540525,新北市板橋區新海路403巷5之3號,曾文豪,本市,營運中,否,北府民殯字第0940884141號,95年01月13日
"北觀國際股份有限公司 ",80259418,02-26103595,"新北市泰山區福德街18之1號  ","郭國輝 ",本市,營運中,否,北府民殯字第0950071635號,95年02月15日
"天路禮儀有限公司 ",28143937,02-29556681,"新北市板橋區觀光街69巷11號1樓  ","劉梁春枝 ",本市,營運中,否,北府民殯字第0950053324號,95年03月27日
"樹根企業社 ",99161082,02-24080116,新北市金山區和平街6號,黃丞徿,本市,營運中,否,北府民殯字第0950155195號,95年04月11日
"大誠禮儀有限公司 ",28353572,02-22591536,"新北市板橋區龍泉街55巷2號  ","賴全義 ",本市,營運中,否,北府民殯字第0950469366號,95年06月26日
"元和葬儀社 ",99295553,02-24578567,"新北市瑞芳區大埔路112之7號  ","吳和 ",本市,營運中,否,北府民殯字第0950448044號,95年07月07日
"建福葬儀社 ",38411209,02-23776118,"新北市坪林區粗窟里灣潭3號  ",鄭富丰,本市,營運中,否,北府民生字第0950495254號,95年10月03日
龍巖股份有限公司板橋分公司,27943995,02-82596702,新北市板橋區長江路1段40號,王群中,本市,營運中,否,北府民生字第0950639844號,95年10月20日
道明國際殯儀有限公司,27554708,02-82585151,新北市板橋區新海路438號,李慶偉,本市,營運中,否,北府民生字第0950887312號,95年12月21日
善緣禮儀用品社,02203614,"02-89835577 ",新北市三重區後竹圍街10號1樓,黃玲玲,本市,營運中,否,北府民生字第0950682731號,95年11月13日
同苑禮品葬儀社,08564656,0989558195,新北市中和區民有街54號,林玉霞,本市,營運中,否,北府民生字第0950867537號,96年01月18日
蓮昇生命事業禮儀社,09999074,02-22953875,新北市五股區民義路1段161之13號2樓,陳柏樺,本市,營運中,否,北府民生字第0950775630號,95年11月22日
以諾安息禮儀社,09965010,02-82431877,新北市中和區南華路77號,汪紹敏,本市,營運中,否,北府民生字第0950714142號,95年10月14日
萬泰儀品商店,74945664,02-26402452,新北市汐止區力行街12巷4號1樓,周猛男,本市,營運中,否,北府民生字第0960199903號,96年04月24日
尊重生命禮儀社,09846916,02-26712730,新北市三峽區中正路1段450號,王贈勳,本市,營運中,否,北府民生字第0960293587號,96年05月24日
花雲鮮花店,34344638,02-22482825,新北市中和區廟美街40之1號,林怡華,本市,營運中,否,北府民生字第0960040570號,96年03月15日
守儀禮儀有限公司,28505522,0910069625,新北市中和區連城路75巷8弄6號5樓,陳宗仁,本市,營運中,否,北府民生字第0950713060號,95年10月18日
金圓山禮儀社,09888485,02-32346878,新北市中和區民安街25巷16號,陳榮鐘,本市,營運中,否,北府民生字第0960353214號,96年06月15日
青雲葬儀社,31400229,0960738520,新北市板橋區新海路430巷7號,徐淑真,本市,營運中,否,北府民生字第0950725842號,95年11月14日
百歲生命禮儀社,09811655,02-22567420,新北市板橋區介壽街84巷58號,蔡文淵,本市,營運中,否,北府民生字第0960144302號,96年04月09日
日升生命禮儀有限公司,28774075,02-22624016,新北市中和區國光街109巷2弄12之3號4樓,葉志成,本市,營運中,否,北府民生字第0960444935號,96年08月02日
萬泰禮儀有限公司,28791546,02-26402452,新北市汐止區力行街12巷4號1樓,周猛男,本市,營運中,否,北府民生字第0960525829號,96年08月28日
立陽生命禮儀有限公司,28804253,0933851421,新北市板橋區新海路452之1號,王木興,本市,營運中,否,北府民生字第0960585761號,96年09月19日
文德禮儀有限公司,28870871,02-29537670,新北市中和區國光街109巷2弄17之4號,葉秀娥,本市,營運中,否,北府民生字第0960645143號,96年10月24日
聯丞殯儀有限公司,27839395,02-22570767,新北市板橋區長江路1段10巷2號,王國權,本市,營運中,否,北府民生字第0960799217號,96年12月12日
新合晟殯儀禮品有限公司,28905111,02-22720499,新北市中和區民德路212號4樓,詹忠霖,本市,營運中,否,北府民生字第0960694659號,96年12月14日
榮維生命事業有限公司,28906147,0939000093,新北市板橋區新海路428號5樓,李莉玟,本市,營運中,否,北府民生字第0960803038號,96年12月25日
詮祥生命事業有限公司,28929373,02-89723366,新北市三重區福德南路34號1樓,林鄭麗華,本市,營運中,否,北府民生字第0960870981號,97年02月04日
一心生命禮儀有限公司,28921647,0989791260,新北市板橋區大仁街67巷5之4號,周依靜,本市,營運中,否,北府民生字第0970092883號,97年03月03日
心照禮儀有限公司,28945015,0921118915,新北市板橋區新海路450之1號,羅淑玲,本市,營運中,否,北府民生字第0970074798號,97年03月10日
信華禮品行,14643399,02-26031611,新北市林口區仁愛路1段272巷6號,陳勝華,本市,營運中,否,北府民生字第0970106876號,97年03月10日
全成國際殯儀禮品有限公司,70556494,0968138458,新北市三峽區國光街43巷7號11樓,陳崇貴,本市,營運中,否,北府民生字第0970106861號,97年03月21日
友益生命禮儀事業有限公司,28934452,02-29939523,新北市新莊區新莊路144號,洪基耀,本市,營運中,否,北府民生字第0970159055號,97年04月07日
世豐禮儀有限公司,29089849,0912660952,新北市板橋區互助街61之2號,陳巧穎,本市,營運中,否,北府民生字第0970157222號,97年04月09日
上豪生命事業有限公司,29088047,02-24968492,新北市瑞芳區大寮路67之2號,陳聖達,本市,營運中,否,北府民生字第0970173028號,97年04月14日
心蓮生命事業有限公司,28209938,02-22546611,新北市板橋區新海路431巷7號,曾琬婷,本市,營運中,否,北府民生字第0970077481號,97年04月21日
明園禮儀社,10609102,02-26217575,新北市淡水區大信街66號3樓之1,李佳霖,本市,營運中,否,北府民生字第0970218513號,97年04月29日
璟德殯儀禮品有限公司,89920402,02-22575733,新北市板橋區新海路431巷10號1樓,歐素霞,本市,營運中,否,北府民殯字第0940309778號,94年05月05日
大愛生命禮儀社,10612633,02-22031414,新北市新莊區民安路98巷15號,扈慶明,本市,營運中,否,北府民生字第0970233255號,97年05月02日
恩泰生命禮儀有限公司,29095357,02-22192245,新北市新店區黎明路29號,朱強明,本市,營運中,否,北府民生字第0970315810號,97年05月08日
盛安禮儀鮮花店,10588752,02-22060851,新北市新莊區中港路648巷6號4樓,朱國泰,本市,營運中,否,北府民生字第0970312245號,97年05月08日
程龍生命禮儀有限公司,29100366,0922222261,新北市蘆洲區復興路340巷8號1樓,王鵬程,本市,營運中,否,北府民生字第0970218878號,97年05月16日
萬寧開發有限公司,12880304,02-82596500,新北市板橋區漢生西路64號,陳榮成,本市,營運中,否,北府民生字第0970347673號,97年05月16日
"義龍商店 ",33368409,02-26792623,新北市鶯歌區中正2路5號,曾金壽,本市,營運中,否,北府民殯字第0940313501號,94年05月03日
安奕生命事業有限公司,29115804,02-22018134,新北市新莊區泰豐街1巷1號3樓,袁倫斌,本市,營運中,否,北府民生字第0970387809號,97年06月16日
心業禮儀社,30114389,02-22510384,新北市板橋區新海路430巷15之1號,郭淑宜,本市,營運中,否,北府民生字第0970636079號,97年09月04日
明皇生命事業有限公司,24248869,02-22586862,新北市新莊區新樹路609之6號11樓,陳茂鈞,本市,營運中,否,北府民生字第0970612054號,97年09月15日
佛源禮儀社,13513117,0921980999,新北市新店區北宜路2段267巷25號1樓,連慈逢,本市,營運中,否,北府民生字第0970686974號,97年10月08日
觀自在佛教禮儀有限公司,24282845,02-22562099,新北市板橋區新海路464號4樓,蔡世華,本市,營運中,否,北府民生字第0970859746號,97年12月04日
昱誠禮儀有限公司,24297973,02-22584569,新北市板橋區長江路1段10巷4號,黃明漳,本市,營運中,否,北府民生字第0970935520號,97年12月30日
德寶生命事業有限公司,24297306,0919645512,新北市永和區成功路2段161巷2弄10號2樓,邱川豪,本市,營運中,否,北府民生字第0970958355號,97年12月31日
佑德禮儀社,30187122,02-22289870,新北市中和區中正路630號,姚財源,本市,營運中,否,新北府民殯字第1073688871號,107年12月07日
寧園生命禮儀企業社,30197846,02-89539969,新北市新莊區裕民街90巷17號8樓,鍾仲煒,本市,營運中,否,北府民生字第0980009176號,98年01月21日
大榮禮儀有限公司,24361518,02-22519002,新北市板橋區新海路431巷5號,陳泓卿,本市,營運中,否,北府民生字第0980052860號,98年02月16日
